"","anem_obs","lat2","lon2"
"338",409,10.7642136607313,124.785286152987
"339",410,10.7643752914083,124.785316129917
"340",412,10.8552105155125,124.7267873827
"341",413,10.7564619323125,124.7858674766
"342",414,10.855060123625,124.7270887875
"343",415,10.74410241795,124.786121071075
"344",416,10.63342361245,124.776719044892
"345",417,10.8554075544833,124.726199685625
"346",418,10.855368882175,124.7261878755
"347",419,10.6410143966875,124.77873751545
"348",420,10.65251669925,124.783705838467
"349",421,10.836315063975,124.74665392325
"350",422,10.6520816640563,124.783873150369
"351",423,10.8091500970083,124.765398733917
"352",424,10.8698107721417,124.715468029033
"353",425,10.6335209263417,124.776742639958
"354",426,10.6335545361625,124.776784294588
"355",427,10.8714219959125,124.714220025175
"356",428,10.633557748525,124.776770707162
"357",429,10.63405300155,124.776537918292
"358",430,10.8733209804667,124.712214348833
"359",431,10.6338356509375,124.776890260638
"360",432,10.7550665567333,124.785080239142
"361",433,10.8743801878583,124.7106810104
"362",434,10.8728115817955,124.71181721272
"363",435,10.6334850902375,124.776617810712
"364",436,10.8743152885187,124.710867048556
"365",437,10.8729640444375,124.712162733312
"366",438,10.63273853855,124.776695813058
"367",439,10.8701615,124.7152815
"368",440,10.872920283025,124.7118151017
"369",441,10.632519536875,124.776938518037
"370",442,10.8718368658833,124.713819149642
"371",443,10.8731269508167,124.712039672892
"372",444,10.6342629288083,124.776753133417
"373",445,10.8735011579667,124.711736960758
"374",446,10.6325614437071,124.776758631029
"375",447,10.871564,124.713918375
"376",448,10.6406332373625,124.781394558825
"377",449,10.81116106245,124.764616180912
"378",450,10.6528818702375,124.783741302425
"379",451,10.633514334525,124.776869532788
"380",452,10.633499341325,124.776907239319
"381",453,10.6340777012417,124.776482346933
"382",454,10.8114991063437,124.764419700375
"383",455,10.8691139658688,124.716364980275
"384",456,10.8716134520875,124.713970372625
"385",457,10.6334407366875,124.77698434485
"386",458,10.87288162205,124.712209700375
"387",459,10.852426305667,124.725549778889
"388",460,10.63296595015,124.776959275062
"389",461,10.873573165725,124.711127190981
"390",462,10.8735542615667,124.710995826
"391",463,10.63419914455,124.77676811395
"392",464,10.8737285258125,124.710900645625
"393",465,10.871529573925,124.714260432531
"394",466,10.743299625,124.78690825
"395",467,10.873885430655,124.710791147585
"396",468,10.6408864155,124.779112584662
"397",470,10.635221827875,124.776092119975
"398",471,10.874021006925,124.710527928812
"399",472,10.87393751977,124.71059578344
"400",473,10.873869538205,124.710627996885
"401",474,10.8736824393861,124.711371333764
"402",476,10.872453046275,124.713084556862
"403",477,10.6405094141875,124.781509802275
"404",478,10.8601947793,124.722399187812
"405",479,10.8610105987,124.721890963975
"406",480,10.860996123725,124.721768821892
"407",481,10.6338582350917,124.776510167858
"408",482,10.8734421618292,124.712151156279
"409",483,10.634661246025,124.776358877838
"410",484,10.870432042275,124.715035491375
"411",485,10.873428138885,124.71216921369
"412",486,10.6348270433125,124.776250581675
"413",487,10.8576880255542,124.724545287921
"414",488,10.873743873025,124.711126098888
"415",489,10.6350259831167,124.776195978183
"416",490,10.63399385288,124.776520332315
"417",491,10.869742389775,124.715767409642
"418",492,10.872974677945,124.71172185894
"419",493,10.635092058075,124.776221546
"420",494,10.635088557275,124.776165575988
"421",495,10.635210163875,124.776115243975
"422",496,10.869807201996,124.7158147079
"423",497,10.6352236843083,124.7760935221
"424",499,10.6352139216417,124.776030102192
"425",500,10.652832625,124.783721375
"426",501,10.8692400235917,124.7163455782
"427",502,10.8698443978375,124.715910186713
"428",503,10.8718685555,124.7137106573
"429",504,10.869859244175,124.715822566012
"430",505,10.728107022575,124.793401298825
"431",506,10.8715307454125,124.71423146315
"432",508,10.63316479675,124.777018858575
"433",510,10.871380948375,124.713943425635
"434",511,10.8714765741042,124.714111295758
"435",512,10.6327227945542,124.776616834563
"436",513,10.633300517225,124.776860349817
"437",514,10.86872872955,124.716799441962
"438",515,10.6336848554292,124.776795016379
"439",516,10.8609044516125,124.721651933863
"440",517,10.8738913829333,124.711105681492
"441",518,10.8743633838125,124.710783974563
"442",519,10.6326890242125,124.776911365912
"443",520,10.8555837418,124.72689376795
"444",521,10.8744572356583,124.71073745825
"445",522,10.8739603415625,124.710456311013
"446",523,10.7690253469625,124.783687354063
"447",524,10.81120705465,124.764569147958
"448",526,10.8688679402625,124.716439740875
"449",527,10.6329561607,124.776972807025
"450",528,10.87162525,124.71392825
"451",529,10.870303688949,124.714984568397
"452",530,10.6336276000417,124.776808172458
"453",531,10.87140521195,124.714029667875
"454",532,10.653836204425,124.783917060125
"455",533,10.6324899802,124.776897279062
"456",534,10.87135025,124.714126333333
"457",535,10.8716330626,124.714081888708
"458",536,10.6339606479625,124.7767783818
"459",537,10.6737380765806,124.766080848651
"460",538,10.85752833685,124.725151387888
"461",539,10.8553129853625,124.726768751875
"462",540,10.87148456835,124.714112392375
"463",541,10.874439000635,124.710645843605
"464",542,10.8584152095417,124.72438425445
"465",544,10.6518397311313,124.782929326167
"466",545,10.8586019617875,124.724405726412
"467",546,10.8618078287625,124.72120321005
"468",547,10.811849918675,124.764271220183
"469",548,10.87310475225,124.712213312679
"470",549,10.6405268772417,124.78087179595
"471",550,10.8713983185625,124.714198872675
"472",551,10.873009099074,124.712172535439
"473",553,10.8719436517375,124.713882858837
"474",556,10.6410870520687,124.778655142288
"475",557,10.640879548525,124.783465920794
"476",558,10.6328401184937,124.777049216788
"477",559,10.63336404505,124.777000806062
"478",561,10.6407283293,124.784596378458
"479",562,10.871486885935,124.714199499215
"480",563,10.63286494883,124.77665711661
"481",564,10.6409100978667,124.779116646383
"482",565,10.74401075,124.786317875
"483",566,10.8738823374813,124.710748037906
"484",567,10.63507715785,124.776225116487
"485",568,10.6400083866833,124.77858735715
"486",569,10.8715302078,124.713876822508
"487",570,10.861604840025,124.721273534225
"488",571,10.8699091756917,124.715823861775
